title,partner,rating,enrollment,subject,skills,duration,level,new_career,promotion
Architecting with Google Kubernetes Engine: Workloads,Google Cloud,"4.7
stars",Missing,Computer Science,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Getting Started With Application Development,Google Cloud,"4.5
stars",Missing,Computer Science,"['Cloud Storage', 'Data Store', 'Google Cloud Platform', 'Cloud Computing']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
The Basics of Trauma Surgery,Technische Universität München (TUM),"4.4
stars",Missing,Health,"['Trauma diagnostics', 'Trauma rehabilitation', 'Fracture Treatment', 'Fracture localization', 'Fracture classification']","Intermediate Level
A medical background of some sort would be recommended (e.g. physician, medical student, paramedic etc.), although it is not necessarily required.",Approx. 11 hours to complete,Missing,Missing
Machine Design Part I,Georgia Institute of Technology,"4.8
stars",Missing,Physical Science and Engineering,"['Materials', 'Problem Solving', 'Mechanical Design', 'Failure']",Intermediate Level,Approx. 31 hours to complete,Missing,Missing
Introduction to Logic,Stanford University,"4.5
stars",Missing,Math and Logic,"['Relational Algebra', 'Problem Solving', 'Propositional Calculus', 'Mathematical Logic']",Intermediate Level,Approx. 54 hours to complete,Missing,Missing
"Data Wrangling, Analysis and AB Testing with SQL","University of California, Davis","3.8
stars",Missing,Data Science,"['A/B Testing', 'Query String', 'Data Analysis', 'Predictive Analytics', 'SQL']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Fundamentals of Parallelism on Intel Architecture,Intel,"4.6
stars",Missing,Computer Science,"['Distributed Computing', 'Computer Architecture', 'Openmp', 'Parallel Computing']",Intermediate Level,Approx. 13 hours to complete,Missing,Missing
Building Cloud Services with the Java Spring Framework,Vanderbilt University,"4.5
stars",Missing,Computer Science,"['Hypertext Transfer Protocol (HTTP)', 'Servlets', 'Cloud Services', 'Web Application', 'Java Spring Framework']","Intermediate Level
Basic Java Programming Experience",Approx. 14 hours to complete,Missing,Missing
VLSI CAD Part I: Logic,University of Illinois at Urbana-Champaign,"4.7
stars",Missing,Computer Science,"['Logic Gate', 'Computer-Aided Design (CAD)', 'Digital Design', 'Boolean Algebra']",Intermediate Level,Approx. 23 hours to complete,Missing,Missing
Doing More with SAS Programming,SAS,"4.8
stars",Missing,Data Science,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Basics of Extracellular Vesicles,"University of California, Irvine","4.8
stars",Missing,Health,"['Biology', 'Sample Preparation', 'Sample Collection', 'Cell Biology']",Intermediate Level,Approx. 10 hours to complete,Missing,Missing
Mastering bitumen for better roads and innovative applications,École des Ponts ParisTech,"4.7
stars",Missing,Physical Science and Engineering,"['Energy', 'Chemical Engineering', 'Chemistry', 'Road Construction']",Intermediate Level,Approx. 7 hours to complete,Missing,Missing
"Tropical Parasitology: Protozoans, Worms, Vectors and Human Diseases",Missing,"4.7
stars",Missing,Health,"['Disease Control', 'Disease Biology', 'Parasitology', 'Microbiology']",Intermediate Level,Approx. 19 hours to complete,Missing,Missing
Corruption,University of Pennsylvania,"4.6
stars",Missing,Social Sciences,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Optimizing a Website for Search,"University of California, Davis","4.7
stars",Missing,Business,"['Keyword Research', 'Marketing', 'Content Marketing', 'Mathematical Optimization']","Intermediate Level
At least 2 years of business or marketing experience and has conducted initial keyword search activities.",Approx. 25 hours to complete,Missing,Missing
Statistics with SAS,SAS,"4.9
stars",Missing,Data Science,[],Intermediate Level,Approx. 21 hours to complete,Missing,Missing
Health in Complex Humanitarian Emergencies,Emory University,"4.7
stars",Missing,Health,[],Intermediate Level,Approx. 8 hours to complete,Missing,Missing
Reinforcement Learning for Trading Strategies,Missing,"3.8
stars",Missing,Data Science,"['Reinforcement Learning Model Development', 'Reinforcement Learning Trading Algorithm Optimization', 'Reinforcement Learning Trading Strategy Development', 'Reinforcement Learning Trading Algo Development']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Data Structures,Missing,"4.7
stars",Missing,Computer Science,"['Binary Search Tree', 'Priority Queue', 'Hash Table', 'Stack (Abstract Data Type)', 'List']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Data Science in Stratified Healthcare and Precision Medicine,The University of Edinburgh,"4.6
stars",Missing,Data Science,"['Data Science', 'Python Programming', 'Machine Learning', 'Image Analysis']",Intermediate Level,Approx. 17 hours to complete,Missing,Missing
Biomedical Visualisation,University of Glasgow ,"4.2
stars",Missing,Health,"['3d modeling', 'Computer Animation', 'virtual - augmented and mixed realities', 'human anatomy']","Intermediate Level
No prior experience is necessary but should be able to learn at an intermediate level.",Approx. 22 hours to complete,Missing,Missing
Social Media Data Analytics,University of Washington,"4.2
stars",Missing,Data Science,"['Python Programming', 'Statistical Analysis', 'Sentiment Analysis', 'R Programming']",Intermediate Level,Approx. 14 hours to complete,Missing,Missing
Applying Data Analytics in Finance,University of Illinois at Urbana-Champaign,"4.5
stars",Missing,Business,[],Intermediate Level,Approx. 22 hours to complete,Missing,Missing
Advanced Portfolio Construction and Analysis with Python,EDHEC Business School,"4.7
stars",Missing,Business,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Concurrency in Go,"University of California, Irvine","4.7
stars",Missing,Computer Science,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Parallel Programming in Java,Rice University,"4.6
stars",Missing,Computer Science,"['Dataflow', 'Parallel Computing', 'Java Concurrency', 'Data Parallelism']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Data-driven Astronomy,The University of Sydney,"4.8
stars",Missing,Physical Science and Engineering,"['Python Programming', 'Machine Learning', 'Applied Machine Learning', 'SQL']",Intermediate Level,Approx. 22 hours to complete,Missing,Missing
Herbal Medicine,University of Minnesota,"4.9
stars",Missing,Health,"['herbal preparations', 'integrative care', 'symptom management', 'botanical safety', 'evidence-based practice']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Understanding Plants - Part II: Fundamentals of Plant Biology,Tel Aviv University,"4.8
stars",Missing,Health,"['Plant Biology', 'Biology', 'Genetics', 'Plant']",Intermediate Level,Approx. 6 hours to complete,Missing,Missing
Formal Financial Accounting,University of Illinois at Urbana-Champaign,"4.8
stars",Missing,Business,[],Intermediate Level,Approx. 6 hours to complete,Missing,Missing
Qualitative Research Methods,University of Amsterdam,"4.5
stars",Missing,Social Sciences,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Six Sigma Advanced Define and Measure Phases,University System of Georgia,"4.7
stars",Missing,Business,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Approaching Music Theory: Melodic Forms and Simple Harmony,California Institute of the Arts,"4.7
stars",Missing,Arts and Humanities,"['Music', 'Classical Music', 'Jazz', 'Music composition', 'Music theory']","Intermediate Level
I recommended you have a basic knowledge of music notation prior to starting this course. Specific details are provided in the first week.",Approx. 23 hours to complete,Missing,Missing
Device-based Models with TensorFlow Lite,deeplearning.ai,"4.5
stars",Missing,Computer Science,"['TensorFlow Lite', 'Mathematical Optimization', 'Machine Learning', 'Tensorflow', 'Object Detection']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Spatial Data Science and Applications,Yonsei University,"4.4
stars",Missing,Data Science,"['Spatial Analysis', 'Qgis', 'Big Data', 'Geographic Information System (GIS)']",Intermediate Level,Approx. 10 hours to complete,Missing,Missing
API Development on Google Cloud's Apigee API Platform,Google Cloud,"4.6
stars",Missing,Computer Science,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
DNA Decoded,McMaster University,"4.8
stars",Missing,Health,[],Intermediate Level,Approx. 11 hours to complete,Missing,Missing
Managing Security in Google Cloud Platform,Google Cloud,"4.7
stars",Missing,Information Technology,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Research Proposal: Initiating Research,"University of California, Davis","4.5
stars",Missing,Business,"['Market Research', 'Research Methods', 'Product Research', 'Marketing Intelligence']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Chinese for HSK 3 PART I,Peking University,"4.7
stars",Missing,Language Learning,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Building AI Applications with Watson APIs,IBM,"4.2
stars",Missing,Data Science,"['Artifical Intelligence', 'Machine Learning', 'Python Programming', 'Watson AI', 'Chatbot']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Business Strategies for Emerging Markets,National Research University Higher School of Economics,"4.8
stars",Missing,Business,[],Intermediate Level,Approx. 26 hours to complete,Missing,Missing
Web Design: Wireframes to Prototypes,California Institute of the Arts,"4.9
stars",Missing,Arts and Humanities,"['Sketch', 'Adobe XD', 'Adobe Illustrator', 'HTML/CSS', 'Balsamiq']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Launching into Machine Learning,Google Cloud,"4.6
stars",Missing,Data Science,"['Tensorflow', 'Bigquery', 'Machine Learning', 'Data Cleansing']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Introduction to Supply Chain Finance & Blockchain Technology,New York Institute of Finance,"4.6
stars",Missing,Business,"['Blockchain Technology Implementation', 'Foreign Currency Risk Management', 'Accounts Receivable Management', 'Accounts Payable Management', 'Trade Finance Management']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Childbirth: A Global Perspective,Emory University,"4.6
stars",Missing,Health,[],Intermediate Level,Approx. 10 hours to complete,Missing,Missing
Experimentation for Improvement,McMaster University,"4.8
stars",Missing,Data Science,"['Process Optimization', 'R Programming', 'Experimental Design', 'Experiment']",Intermediate Level,Approx. 10 hours to complete,Missing,Missing
Design Patterns,University of Alberta,"4.7
stars",Missing,Computer Science,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Transacting on the Blockchain,INSEAD,"4.8
stars",Missing,Business,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
General Pathophysiology,Saint Petersburg State University,"4.2
stars",Missing,Health,[],Intermediate Level,Approx. 19 hours to complete,Missing,Missing
Guided Tour of Machine Learning in Finance,New York University Tandon School of Engineering,"3.8
stars",Missing,Data Science,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
"Modern Robotics, Course 1: Foundations of Robot Motion",Northwestern University,"4.7
stars",Missing,Physical Science and Engineering,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Front-End JavaScript Frameworks: Angular,The Hong Kong University of Science and Technology,"4.7
stars",Missing,Computer Science,"['Node.Js', 'Angularjs', 'Reactive Programming', 'Typescript']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Intro to TensorFlow,Google Cloud,"4.4
stars",Missing,Data Science,"['Application Programming Interfaces (API)', 'Estimator', 'Machine Learning', 'Tensorflow', 'Cloud Computing']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Introduction to Power Electronics,University of Colorado Boulder,"4.8
stars",Missing,Physical Science and Engineering,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Wind resources for renewable energies,École Polytechnique,"4.0
stars",Missing,Physical Science and Engineering,[],Intermediate Level,Approx. 13 hours to complete,Missing,Missing
"Greedy Algorithms, Minimum Spanning Trees, and Dynamic Programming",Stanford University,"4.8
stars",Missing,Computer Science,"['Spanning Tree', 'Algorithms', 'Dynamic Programming', 'Greedy Algorithm']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Software Architecture,University of Alberta,"4.4
stars",Missing,Computer Science,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Humanitarian communication : Addressing key challenges,University of Geneva,"4.7
stars",Missing,Social Sciences,[],Intermediate Level,Approx. 9 hours to complete,Missing,Missing
Geospatial and Environmental Analysis,"University of California, Davis","4.8
stars",Missing,Physical Science and Engineering,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Fundamentals of Fluid-Solid Interactions,École Polytechnique,"4.8
stars",Missing,Physical Science and Engineering,[],Intermediate Level,Approx. 9 hours to complete,Missing,Missing
Building Deep Learning Models with TensorFlow,IBM,"4.4
stars",Missing,Data Science,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Media ethics & governance,University of Amsterdam,"4.6
stars",Missing,Social Sciences,[],Intermediate Level,Approx. 9 hours to complete,Missing,Missing
C for Everyone: Structured Programming,"University of California, Santa Cruz","4.7
stars",Missing,Computer Science,[],Intermediate Level,Approx. 10 hours to complete,Missing,Missing
Mediation and Conflict Resolution,ESSEC Business School,"4.6
stars",Missing,Business,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Toxicology 21: Scientific Applications,Missing,"4.7
stars",Missing,Health,[],Intermediate Level,Approx. 95 hours to complete,Missing,Missing
Planning & Design of Sanitation Systems and Technologies,École Polytechnique Fédérale de Lausanne,"4.7
stars",Missing,Physical Science and Engineering,"['Urban Planning', 'Environmental Protection', 'Engineering Design', 'Wastewater Engineering']",Intermediate Level,Approx. 17 hours to complete,Missing,Missing
Functional Program Design in Scala,École Polytechnique Fédérale de Lausanne,"4.5
stars",Missing,Computer Science,"['Streams', 'Functional Design', 'Reactive Programming', 'Functional Programming']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Introduction to Mechanical Engineering Design and Manufacturing with Fusion 360,Autodesk,"4.8
stars",Missing,Physical Science and Engineering,"['Autodesk', 'Manufacturing Process Management', 'Engineering', 'Fusion 360', 'Mechanical Engineering']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Nuclear Reactor Physics Basics,National Research Nuclear University MEPhI,"4.7
stars",Missing,Physical Science and Engineering,[],Intermediate Level,Approx. 16 hours to complete,Missing,Missing
"Musicianship: Chord Charts, Diatonic Chords, and Minor Keys",Berklee College of Music,"4.9
stars",Missing,Arts and Humanities,"['Music Performance', 'Piano', 'Music', 'Music composition', 'Music theory']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Business English: Management and Leadership,Arizona State University,"4.7
stars",Missing,Language Learning,"['English Language', 'Writing', 'Management', 'Communication', 'Emailing', 'Meeting']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Branding and Customer Experience,IE Business School,"4.6
stars",Missing,Business,"['Employment', 'Leadership', 'Management', 'Customer Experience']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Smart Contracts,Missing,"4.6
stars",Missing,Computer Science,"['Cryptocurrency', 'Blockchain', 'Solidity', 'Smart Contract', 'Remix IDE']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
BIM Application for Engineers,National Taiwan University,"4.6
stars",Missing,Physical Science and Engineering,[],Intermediate Level,Approx. 32 hours to complete,Missing,Missing
Ecology: from cells to Gaia,National Research Tomsk State University,"4.3
stars",Missing,Health,[],Intermediate Level,Approx. 5 hours to complete,Missing,Missing
Digital Systems: From Logic Gates to Processors,Universitat Autònoma de Barcelona,"4.5
stars",Missing,Physical Science and Engineering,"['Digital Design', 'Digital Circuit Design', 'Boolean Algebra', 'Processor Design']",Intermediate Level,Approx. 24 hours to complete,Missing,Missing
Fitting Statistical Models to Data with Python,University of Michigan,"4.5
stars",Missing,Data Science,"['Bayesian Statistics', 'Python Programming', 'Statistical Model', 'statistical regression']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
COVID-19 - A clinical update,University of Florida,"4.7
stars",Missing,Health,[],"Intermediate Level
No background required.",Approx. 5 hours to complete,Missing,Missing
Mathematics for economists,National Research University Higher School of Economics,"4.5
stars",Missing,Math and Logic,[],Intermediate Level,Approx. 33 hours to complete,Missing,Missing
MRI Fundamentals,Korea Advanced Institute of Science and Technology(KAIST),"4.6
stars",Missing,Health,[],Intermediate Level,Approx. 8 hours to complete,Missing,Missing
A Complete Reinforcement Learning System (Capstone),Missing,"4.6
stars",Missing,Data Science,"['Artificial Intelligence (AI)', 'Machine Learning', 'Reinforcement Learning', 'Function Approximation', 'Intelligent Systems']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Linear Regression in R for Public Health,Imperial College London,"4.8
stars",Missing,Health,"['Correlation And Dependence', 'Linear Regression', 'R Programming']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Hybrid Cloud Infrastructure Foundations with Anthos,Google Cloud,"4.8
stars",Missing,Information Technology,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Advanced Content and Social Tactics to Optimize SEO,"University of California, Davis","4.5
stars",Missing,Business,"['Social Media Marketing', 'Social Media', 'Content Marketing', 'Mathematical Optimization']","Intermediate Level
At least 2 years of business or marketing experience; familiar with social media.",Approx. 17 hours to complete,Missing,Missing
Data in Database,Arizona State University,"3.8
stars",Missing,Information Technology,[],Intermediate Level,Approx. 10 hours to complete,Missing,Missing
Six Sigma Advanced Analyze Phase,University System of Georgia,"4.7
stars",Missing,Business,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Arranging for Songwriters,Berklee College of Music,"4.5
stars",Missing,Arts and Humanities,"['Music', 'arranging', 'Songwriting', 'Writing']","Intermediate Level
Sstudents should have experience writing songs and be aware of popular song forms",Approx. 9 hours to complete,Missing,Missing
Autodesk Fusion 360 Integrated CAD/CAM/CAE,Autodesk,"4.7
stars",Missing,Physical Science and Engineering,"['Computer-Aided Design (CAD)', 'Autodesk', '3d modeling', 'Autocad']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Interactive Computer Graphics,The University of Tokyo,"4.3
stars",Missing,Computer Science,"['3d computer graphics', 'Algorithms', 'Robotics', 'Computer Graphics (CG)']",Intermediate Level,Approx. 12 hours to complete,Missing,Missing
Advanced Neurobiology I,Peking University,"4.0
stars",Missing,Health,[],Intermediate Level,Approx. 23 hours to complete,Missing,Missing
Architecting with Google Kubernetes Engine: Production,Google Cloud,"4.7
stars",Missing,Computer Science,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
International and Cross-Cultural Negotiation,ESSEC Business School,"4.7
stars",Missing,Business,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Advanced Search Engine Optimization Strategies,"University of California, Davis","4.5
stars",Missing,Business,"['Data Analysis', 'Analytics', 'Marketing', 'Mathematical Optimization']","Intermediate Level
At least 2 years of business or marketing experience; familiar with social media and have a basic understanding of SEO.",Approx. 25 hours to complete,Missing,Missing
Practical SAS Programming and Certification Review,SAS,"4.8
stars",Missing,Data Science,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Climate Change Mitigation in Developing Countries,University of Cape Town,"4.6
stars",Missing,Physical Science and Engineering,[],Intermediate Level,Approx. 18 hours to complete,Missing,Missing
Equivalent Circuit Cell Model Simulation,University of Colorado System,"4.7
stars",Missing,Physical Science and Engineering,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Data Pipelines with TensorFlow Data Services,deeplearning.ai,"3.9
stars",Missing,Computer Science,"['Tensorflow', 'Machine Learning']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Extracellular Vesicles in Health and Disease,"University of California, Irvine","4.8
stars",Missing,Health,[],Intermediate Level,Approx. 12 hours to complete,Missing,Missing
Science of Training Young Athletes Part 2,University of Florida,"5.0
stars",Missing,Personal Development,[],Intermediate Level,Approx. 18 hours to complete,Missing,Missing
Securing and Integrating Components of your Application,Google Cloud,"4.6
stars",Missing,Computer Science,"['Application Programming Interfaces (API)', 'Google Cloud Platform', 'Cloud Computing']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Machine Learning Using SAS Viya,SAS,"4.7
stars",Missing,Data Science,[],Intermediate Level,Approx. 30 hours to complete,Missing,Missing
Competitive Programmer's Core Skills,Saint Petersburg State University,"4.6
stars",Missing,Computer Science,[],Intermediate Level,Approx. 28 hours to complete,Missing,Missing
Six Sigma Advanced Improve and Control Phases,University System of Georgia,"4.7
stars",Missing,Business,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Getting started with TensorFlow 2,Imperial College London,"5.0
stars",Missing,Data Science,[],Intermediate Level,Approx. 26 hours to complete,Missing,Missing
Assessment in Higher Education: Professional Development for Teachers,Erasmus University Rotterdam,"4.8
stars",Missing,Social Sciences,[],Intermediate Level,Approx. 18 hours to complete,Missing,Missing
Intro to Acoustics (Part 1),Korea Advanced Institute of Science and Technology(KAIST),"4.4
stars",Missing,Physical Science and Engineering,[],Intermediate Level,Approx. 12 hours to complete,Missing,Missing
Getting Started on Mainframe with z/OS Commands and Panels,IBM,"4.7
stars",Missing,Information Technology,"['System Administration', 'z/OS Commands', 'Panels', 'TSO', 'SysOp']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Effective Sales – An Overview,Fundação Instituto de Administração,"4.6
stars",Missing,Business,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Sports and Building Aerodynamics,Eindhoven University of Technology,"4.8
stars",Missing,Physical Science and Engineering,[],Intermediate Level,Approx. 24 hours to complete,Missing,Missing
Introduction to Clinical Data Science,University of Colorado System,"4.6
stars",Missing,Data Science,[],"Intermediate Level
Some programming experience in any language.",Approx. 7 hours to complete,Missing,Missing
Data Visualization with Tableau Project,"University of California, Davis","4.6
stars",Missing,Data Science,"['Data Analysis', 'Interactive Visualization', 'Tableau Software', 'Data Visualization (DataViz)']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Introduction to iOS App Development with Swift 5,LearnQuest,"4.7
stars",Missing,Computer Science,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Privacy in Europe,EIT Digital ,Missing,Missing,Social Sciences,[],Intermediate Level,Approx. 18 hours to complete,Missing,Missing
Networking in Google Cloud: Defining and Implementing Networks,Google Cloud,"4.8
stars",Missing,Information Technology,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
From Disease to Genes and Back,Novosibirsk State University ,"4.7
stars",Missing,Health,[],Intermediate Level,Approx. 24 hours to complete,Missing,Missing
Agile Software Development,University of Minnesota,"4.6
stars",Missing,Computer Science,"['Software Development Kit (SDK)', 'Agile Software Development', 'Scrum (Software Development)']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
"Musicianship: Tensions, Harmonic Function, and Modal Interchange",Berklee College of Music,"4.8
stars",Missing,Arts and Humanities,"['Piano', 'Music', 'Performance', 'Music composition', 'Music theory']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Computational Geometry,Saint Petersburg State University,"4.1
stars",Missing,Computer Science,[],"Intermediate Level
Basic knowledge of at least one programming language (loops, recursion, input/output). Basic math: proof by induction, proof by contradiction.",Approx. 19 hours to complete,Missing,Missing
Computer Vision Basics,Missing,"3.9
stars",Missing,Computer Science,"['Computer Vision', 'Computer Programming', 'Matlab']","Intermediate Level
Basic programming skills & experience; familiarity with basic linear algebra, calculus & probability, and 3D co-ordinate systems & transformations",Approx. 10 hours to complete,Missing,Missing
Healthcare Data Literacy,"University of California, Davis","4.6
stars",Missing,Health,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Multiplatform Mobile App Development with React Native,The Hong Kong University of Science and Technology,"4.6
stars",Missing,Computer Science,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
The R Programming Environment,Missing,"4.4
stars",Missing,Data Science,"['Data Manipulation', 'Regular Expression (REGEX)', 'R Programming', 'Rstudio']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Business Analytics Executive Overview,University of Illinois at Urbana-Champaign,"4.5
stars",Missing,Business,[],Intermediate Level,Approx. 17 hours to complete,Missing,Missing
Industrial IoT Markets and Security,University of Colorado Boulder,"4.6
stars",Missing,Computer Science,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Patient Safety and Quality Improvement: Developing a Systems View (Patient Safety I),Missing,"4.8
stars",Missing,Health,"['Patient Care', 'Systems Thinking', 'Quality Improvement']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
"Global Health Security, Solidarity and Sustainability through the International Health Regulations",University of Geneva,"4.8
stars",Missing,Health,[],Intermediate Level,Approx. 25 hours to complete,Missing,Missing
Study Designs in Epidemiology,Imperial College London,"4.8
stars",Missing,Health,"['Randomized Controlled Trial', 'Case-Control Study', 'Study designs', 'Cohort']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Trading Algorithms,Indian School of Business,"4.6
stars",Missing,Business,"['Trading Strategy', 'Post-Earnings-Announcement Drift (PEAD)', 'F1 Score', 'Trading']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Embedded Software and Hardware Architecture,University of Colorado Boulder,"4.6
stars",Missing,Physical Science and Engineering,[],Intermediate Level,Approx. 4 hours to complete,Missing,Missing
Climate Change and Water in Mountains: A Global Concern,University of Geneva,"4.6
stars",Missing,Physical Science and Engineering,[],Intermediate Level,Approx. 17 hours to complete,Missing,Missing
"Shortest Paths Revisited, NP-Complete Problems and What To Do About Them",Stanford University,"4.8
stars",Missing,Computer Science,"['Data Structure', 'Algorithms', 'Np-Completeness', 'Dynamic Programming']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Motors and Motor Control Circuits,University of Colorado Boulder,"4.7
stars",Missing,Physical Science and Engineering,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Materials Data Sciences and Informatics,Georgia Institute of Technology,"4.3
stars",Missing,Physical Science and Engineering,"['Informatics', 'Materials', 'Statistics', 'Data Science']",Intermediate Level,Approx. 8 hours to complete,Missing,Missing
Building Database Applications in PHP,University of Michigan,"4.9
stars",Missing,Computer Science,"['Hypertext Preprocessor (PHP)', 'Create, Read, Update And Delete', 'MySQL']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Technical Writing,Moscow Institute of Physics and Technology,"4.6
stars",Missing,Language Learning,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Pricing Strategy in Practice,Missing,"4.7
stars",Missing,Business,"['Competition (Economics)', 'Conjoint Analysis', 'Pricing Strategies', 'Executive Presentation', 'Pricing Economics']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Social Pedagogy across Europe,Universitat Autònoma de Barcelona,"4.6
stars",Missing,Social Sciences,[],Intermediate Level,Approx. 20 hours to complete,Missing,Missing
Business English: Meetings,University of Washington,"4.7
stars",Missing,Language Learning,"['Professional', 'English Language', 'Meeting', 'Writing']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Cyber Attack Countermeasures,New York University Tandon School of Engineering,"4.8
stars",Missing,Computer Science,"['Cybersecurity', 'Cryptography', 'Public-Key Cryptography']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
